Year,Cnt,Hiredcnt,ElderCnt,DualincomeCnt,NormalCnt,GenderCode,Age,EduCode,Edu,ResidentialArea,HouseCnt,HouseCode,Spending,Meals,Meat,MeatProducts
2017,4,2,0,1,0,1,57,4,고등학교,43,1,YES,2616915,451000,163030,0
2017,2,2,0,0,1,1,54,4,고등학교,43,2,NO,1890860,479500,41500,0
2017,2,1,0,0,1,2,27,5,대학교(3년제 이하),48,2,NO,1050100,165000,20600,0
2017,1,1,0,0,1,1,64,1,무학,48,2,NO,1310032,508400,10000,0
2017,4,2,0,0,1,1,59,5,대학교(3년제 이하),84,2,NO,4376282,942500,45660,24070
2017,3,1,0,0,1,1,43,4,고등학교,85,2,NO,2820845,685700,23233,19330
2017,2,2,0,1,0,1,57,4,고등학교,84,2,NO,1708083,268500,63000,0
2017,1,0,1,0,0,2,88,1,무학,66,2,NO,788000,0,18000,0
2017,2,0,1,0,0,1,75,2,초등학교,59,2,NO,617810,5000,50000,0
2017,3,2,0,0,1,1,54,6,대학교(4년제 이상),83,2,NO,3371544,573300,127550,0
2017,2,1,1,0,0,2,70,2,초등학교,60,2,NO,4204514,132500,208000,0
2017,3,1,0,0,1,1,31,6,대학교(4년제 이상),60,2,NO,1829058,281900,57850,18460
2017,2,2,1,1,0,1,74,4,고등학교,139,2,NO,1212541,90300,25000,5000
2017,1,1,1,0,0,2,79,2,초등학교,56,2,NO,714428,0,41300,7500
2017,3,0,0,0,1,1,73,2,초등학교,49,1,YES,615450,5000,50000,0
2017,2,1,0,0,1,1,64,3,중학교,30,1,YES,1219007,162500,0,0
2017,4,1,0,0,1,1,50,6,대학교(4년제 이상),86,2,NO,3145946,621000,123590,14490
2017,1,0,0,0,1,1,25,7,대학원,33,2,NO,1640435,400500,0,0
2017,1,0,0,0,1,1,25,6,대학교(4년제 이상),33,2,NO,478497,201900,0,1000
2017,2,2,1,1,0,1,77,2,초등학교,91,2,NO,531531,0,27060,0
2017,1,0,1,0,0,1,71,4,고등학교,35,2,NO,624950,0,10550,16050
2017,2,2,0,1,0,1,62,4,고등학교,98,2,NO,6230294,479900,215054,319980
2017,3,3,0,1,0,1,59,4,고등학교,50,1,YES,3349507,851660,106880,7500
2017,2,0,0,0,1,1,24,6,대학교(4년제 이상),50,2,NO,1726077,395800,0,5600
2017,2,0,1,0,0,1,70,7,대학원,89,2,NO,3585726,207000,93000,0
2017,4,2,1,1,0,1,68,3,중학교,59,1,YES,1540245,124000,25000,0
2017,3,2,0,1,0,1,52,6,대학교(4년제 이상),112,1,YES,4013899,881900,85720,9780
2017,4,1,0,0,1,1,37,4,고등학교,59,2,NO,1634557,52800,0,0
2017,3,2,0,0,1,1,53,3,중학교,59.4,2,NO,1539647,240280,0,6900
2017,1,0,1,0,0,2,81,1,무학,64,2,NO,186310,3000,0,0
2017,2,2,0,1,0,1,68,3,중학교,99,2,NO,2581727,293000,97000,22500
2017,2,1,1,0,0,1,71,2,초등학교,66,2,NO,3105422,147000,232120,0
2017,3,1,0,0,1,1,34,7,대학원,59,2,NO,2407808,510000,89940,28720
2017,3,0,0,0,1,2,74,3,중학교,28,2,NO,775899,23000,30200,0
2017,2,0,0,0,1,1,46,4,고등학교,53,2,NO,629674,45000,38300,5980
2017,1,1,1,0,0,2,73,2,초등학교,33,2,NO,598391,5000,50000,0
2017,2,1,0,0,1,1,34,5,대학교(3년제 이하),84,2,NO,4377871,80600,51630,0
2017,2,1,0,0,1,1,56,6,대학교(4년제 이상),84,1,YES,2601092,16000,114202,20000
2017,1,1,0,0,1,1,37,6,대학교(4년제 이상),112,2,NO,1367795,270700,0,2000
2017,2,1,1,0,0,1,70,3,중학교,109,2,NO,1782478,176500,110688,0
2017,2,2,0,1,0,1,59,6,대학교(4년제 이상),31,2,NO,1320180,108500,29280,0
2017,3,2,0,0,1,2,32,5,대학교(3년제 이하),139,2,NO,5991907,314100,15000,0
2017,2,0,0,0,1,2,79,1,무학,59,2,NO,753720,0,10000,0
2017,3,2,0,1,0,1,32,5,대학교(3년제 이하),59,2,NO,2768558,552750,12000,43480
2017,3,2,0,0,1,1,56,4,고등학교,85,2,NO,3597269,913200,48500,0
2017,3,1,0,0,1,1,48,6,대학교(4년제 이상),84,2,NO,2681458,524320,60000,0
2017,4,2,0,1,0,1,50,6,대학교(4년제 이상),85,2,NO,3869343,252760,50920,64190
2017,3,2,0,1,0,1,35,7,대학원,85,2,NO,1312195,475700,91310,0
2017,1,1,0,0,1,2,30,6,대학교(4년제 이상),49,2,NO,1788970,45000,45000,0
2017,2,0,1,0,0,1,73,6,대학교(4년제 이상),59,2,NO,724443,0,30000,10000
2017,1,1,0,0,1,2,58,4,고등학교,48,2,NO,1599311,273680,51810,11260
2017,2,0,1,0,0,1,69,3,중학교,79,2,NO,2353380,300000,111270,7000
2017,2,2,1,1,0,1,80,2,초등학교,59,2,NO,906909,44000,60000,0
2017,1,0,1,0,0,2,76,2,초등학교,36,2,NO,188260,0,0,0
2017,4,2,0,1,0,1,42,5,대학교(3년제 이하),45,2,NO,3294230,795100,59970,42260
2017,2,0,0,0,1,1,67,3,중학교,78,2,NO,906347,225100,10020,0
2017,2,0,0,0,1,2,69,1,무학,100,2,NO,119306,0,0,5800
2017,1,0,1,0,0,1,67,2,초등학교,7,2,NO,431890,6500,2000,0
2017,2,1,1,0,0,1,66,4,고등학교,99,2,NO,2046670,262000,10000,0
2017,3,0,1,0,0,1,73,2,초등학교,99,2,NO,760600,35500,0,0
2017,1,1,0,0,1,1,52,3,중학교,43,2,NO,1081210,86000,0,0
2017,2,0,1,0,0,1,71,6,대학교(4년제 이상),82,2,NO,921400,19200,10000,0
2017,2,2,1,1,0,1,75,7,대학원,82,1,YES,1008629,171000,108000,0
2017,2,1,0,0,1,1,58,4,고등학교,82,2,NO,3031022,349000,96590,5990
2017,1,1,1,0,0,1,73,4,고등학교,76,2,NO,751076,68400,9650,0
