Year,Cnt,Hiredcnt,ElderCnt,DualincomeCnt,NormalCnt,GenderCode,Age,EduCode,Edu,ResidentialArea,HouseCnt,HouseCode,Spending,Meals,Meat,MeatProducts
2014,4,1,0,0,1,1,44,3,고등학교,47,1,YES,2086494,153190,46725,20172
2014,4,1,0,0,1,1,44,5,대학교(4년제 대학포함),89,2,NO,2620934,376911,29974,12691
2014,1,0,1,0,0,2,79,0,무학,33,1,YES,819943,1183,118285,0
2014,1,0,1,0,0,1,66,1,초등학교,26,1,YES,3239180,35000,10000,0
2014,3,1,0,0,1,1,60,1,초등학교,79,2,NO,1330790,161700,102000,0
2014,1,1,1,0,0,2,74,1,초등학교,79,2,NO,1788962,20600,29793,0
2014,4,2,0,1,0,1,45,5,대학교(4년제 대학포함),85,1,YES,3494897,636076,73410,12407
2014,4,1,0,0,1,1,37,5,대학교(4년제 대학포함),84,1,YES,3459741,255358,66097,23046
2014,2,1,0,0,1,1,58,3,고등학교,84,1,YES,7018826,823499,6459,4910
2014,3,1,0,0,1,1,60,1,초등학교,26,2,NO,3637783,572463,49970,5894
2014,3,2,0,1,0,1,60,3,고등학교,83,1,YES,1725866,209405,34325,9168
2014,4,2,0,1,0,1,36,3,고등학교,60,1,YES,2817744,550357,29741,8105
2014,4,1,0,0,1,1,46,5,대학교(4년제 대학포함),78,1,YES,3630678,453551,154163,51987
2014,3,2,0,0,1,1,58,3,고등학교,78,1,YES,2435549,861921,16884,3337
2014,1,0,1,0,0,2,73,0,무학,26,2,NO,391844,6730,18865,3753
2014,4,2,0,1,0,1,46,5,대학교(4년제 대학포함),85,1,YES,6287207,540000,170000,30000
2014,4,1,0,0,1,1,41,4,"전문대(초급대,2·3년제 대학포함)",60,1,YES,3969530,459381,48047,28379
2014,2,1,0,0,1,1,68,3,고등학교,50,1,YES,1621547,66943,57494,0
2014,3,1,0,0,1,1,35,5,대학교(4년제 대학포함),115,1,YES,2606430,389041,24779,6838
2014,4,1,0,0,1,1,36,4,"전문대(초급대,2·3년제 대학포함)",76,1,YES,1653050,245089,47974,7619
2014,3,2,0,1,0,1,49,3,고등학교,50,2,NO,1427571,300071,52302,7494
2014,1,1,0,0,1,1,52,3,고등학교,50,1,YES,1431840,286075,94115,2485
2014,4,1,0,0,1,1,43,5,대학교(4년제 대학포함),116,1,YES,2772114,188209,94570,348
2014,5,2,0,1,0,1,36,4,"전문대(초급대,2·3년제 대학포함)",75,1,YES,3463950,139009,31615,17983
2014,3,1,0,0,1,2,64,1,초등학교,85,1,YES,833142,33624,18952,0
2014,3,2,0,0,1,1,76,3,고등학교,85,1,YES,2379220,600488,14090,815
2014,1,0,0,0,1,1,60,1,초등학교,50,1,YES,676040,70582,36499,0
2014,3,2,0,1,0,1,45,6,대학원(석사),60,1,YES,2557567,223016,52975,24027
2014,4,2,0,1,0,1,35,6,대학원(석사),85,1,YES,2541541,421300,14400,4880
2014,1,0,0,0,1,2,59,1,초등학교,62,2,NO,760285,24375,40226,346
2014,1,1,0,0,1,1,52,6,대학원(석사),84,1,YES,1666024,398095,2512,1411
2014,2,2,0,1,0,1,66,2,중학교,84,1,YES,956283,27086,45310,2938
2014,3,2,0,1,0,1,42,3,고등학교,84,1,YES,3767060,630419,24484,11755
2014,2,1,0,0,1,2,61,1,초등학교,48,2,NO,1988990,736447,25948,0
2014,2,0,0,0,1,1,64,5,대학교(4년제 대학포함),92,1,YES,1980933,222362,64642,3164
2014,4,2,0,1,0,1,49,4,"전문대(초급대,2·3년제 대학포함)",60,1,YES,4546485,433281,82848,17775
2014,4,1,0,0,1,1,35,4,"전문대(초급대,2·3년제 대학포함)",85,2,NO,1954196,115137,4540,13960
2014,1,1,1,0,0,1,66,3,고등학교,42,1,YES,470954,51565,31194,10242
2014,2,0,1,0,0,1,82,3,고등학교,66,2,NO,587403,32565,14432,0
2014,2,0,1,0,0,1,76,3,고등학교,84,1,YES,3114138,63329,62312,0
2014,3,3,0,1,0,2,68,5,대학교(4년제 대학포함),99,1,YES,9081054,673300,140000,34960
2014,2,2,0,1,0,1,36,5,대학교(4년제 대학포함),93,1,YES,2816834,175980,14245,687
2014,3,3,0,0,1,1,49,3,고등학교,43,2,NO,2195914,659056,27403,5444
2014,1,1,1,0,0,2,70,1,초등학교,48,1,YES,1162543,0,0,0
2014,1,1,0,0,1,2,58,2,중학교,42,1,YES,657512,31895,34842,1042
2014,3,2,0,1,0,1,46,3,고등학교,85,1,YES,2609691,366894,50028,27220
2014,3,1,0,0,1,1,36,3,고등학교,30,2,NO,1644602,353563,34179,752
2014,2,1,0,0,1,1,57,3,고등학교,96,1,YES,2800661,405510,51049,4944
2014,2,1,0,0,1,1,29,3,고등학교,83,1,YES,1408571,273913,46022,4379
2014,3,2,0,1,0,1,41,6,대학원(석사),83,1,YES,1825754,147379,99009,12153
2014,3,2,0,1,0,1,52,4,"전문대(초급대,2·3년제 대학포함)",83,1,YES,2956448,398908,66434,0
2014,2,0,1,0,0,1,77,1,초등학교,56,1,YES,963741,145164,5568,408
2014,4,2,0,1,0,1,40,3,고등학교,43,1,YES,14282390,389502,156165,5009
2014,3,1,0,0,1,1,55,5,대학교(4년제 대학포함),116,1,YES,2857561,184836,78507,16823
2014,3,2,0,1,0,1,53,5,대학교(4년제 대학포함),85,1,YES,4458226,531036,14578,5350
2014,1,1,0,0,1,1,59,3,고등학교,40,2,NO,1489647,320010,23382,2954
2014,4,1,0,0,1,1,36,3,고등학교,106,1,YES,1814962,164184,25967,27917
2014,3,1,0,0,1,1,37,5,대학교(4년제 대학포함),106,1,YES,863012,56823,60920,1761
2014,4,1,0,0,1,1,45,5,대학교(4년제 대학포함),48,1,YES,2026647,181904,158080,0
2014,4,2,0,1,0,1,45,5,대학교(4년제 대학포함),146,1,YES,2703513,126503,30204,3018
2014,1,0,0,0,1,1,40,4,"전문대(초급대,2·3년제 대학포함)",70,1,YES,655902,55042,4227,9155
2014,3,2,0,0,1,1,59,2,중학교,72,1,YES,1692954,504573,90132,5154
2014,3,1,0,0,1,1,47,3,고등학교,72,1,YES,1541348,593000,8089,0
2014,4,2,0,1,0,1,37,5,대학교(4년제 대학포함),85,1,YES,2913738,244987,72713,22658
2014,3,1,0,0,1,2,47,3,고등학교,71,1,YES,1503299,211499,24509,6690
2014,2,1,0,0,1,1,38,3,고등학교,80,2,NO,1432044,153250,20966,11326
2014,4,1,0,0,1,1,41,5,대학교(4년제 대학포함),85,1,YES,4533443,532730,115658,49975
2014,1,0,1,0,0,2,74,0,무학,79,1,YES,746703,50913,13007,1880
2014,3,1,0,0,1,1,51,5,대학교(4년제 대학포함),99,1,YES,2989614,438881,27394,4918
2014,4,1,0,0,1,1,55,2,중학교,56,1,YES,1235500,67100,20000,0
2014,2,1,0,0,1,1,60,2,중학교,112,1,YES,1412513,104545,31130,0
2014,3,1,0,0,0,2,47,4,"전문대(초급대,2·3년제 대학포함)",57,1,YES,2196411,104080,38376,5600
2014,3,1,0,0,1,1,43,4,"전문대(초급대,2·3년제 대학포함)",60,1,YES,4224697,401417,21439,7501
2014,4,2,0,1,0,1,37,6,대학원(석사),59,1,YES,4592483,616617,46590,14596
2014,3,2,0,1,0,1,48,3,고등학교,99,1,YES,3495838,478903,37389,10912
2014,3,3,0,1,0,1,57,3,고등학교,91,2,NO,2548769,611300,65210,0
2014,5,2,0,1,0,1,47,5,대학교(4년제 대학포함),99,1,YES,2429606,396209,15321,18767
2014,4,1,0,0,1,1,46,5,대학교(4년제 대학포함),99,2,NO,2202543,215702,43935,7268
2014,3,1,0,0,1,2,45,3,고등학교,50,1,YES,1212971,94093,17888,3130
2014,2,1,0,0,1,2,47,3,고등학교,55,1,YES,1619646,224156,9835,0
2014,2,1,0,0,1,1,49,3,고등학교,92,1,YES,1353215,177329,29196,10715
2014,4,2,0,1,0,1,46,4,"전문대(초급대,2·3년제 대학포함)",85,1,YES,4807991,583066,44280,3257
2014,1,0,1,0,0,2,81,0,무학,42,2,NO,719858,0,17339,0
2014,3,1,0,0,1,1,36,5,대학교(4년제 대학포함),84,1,YES,4085460,489827,61245,0
2014,3,1,0,0,1,1,55,1,초등학교,49,1,YES,1607030,174387,68665,21088
2014,2,0,0,0,1,2,57,3,고등학교,123,1,YES,2621174,468964,111951,4768
2014,3,2,0,1,0,1,46,5,대학교(4년제 대학포함),122,1,YES,2741250,315189,37193,31801
2014,3,2,0,1,0,1,49,7,대학원(박사),60,1,YES,6949393,1008222,134092,10943
2014,3,3,0,1,0,1,57,1,초등학교,84,1,YES,2359995,145215,133496,7778
2014,2,1,0,0,1,1,63,3,고등학교,92,1,YES,1649927,171466,93445,6629
2014,1,1,1,0,0,2,83,1,초등학교,20,2,NO,174480,15960,8911,0
2014,1,1,0,0,1,1,32,4,"전문대(초급대,2·3년제 대학포함)",45,2,NO,460840,10000,16000,0
2014,4,1,0,0,1,1,34,3,고등학교,59,1,YES,3233289,326699,75924,9491
2014,3,3,0,1,0,1,53,3,고등학교,40,2,NO,1662342,318902,35713,840
2014,3,2,0,0,1,1,62,2,중학교,57,2,NO,2703522,294405,36598,8880
2014,2,0,0,0,1,1,64,3,고등학교,83,1,YES,1313618,150196,66211,14594
2014,4,2,0,1,0,1,38,4,"전문대(초급대,2·3년제 대학포함)",59,1,YES,3105717,332552,51787,1843
2014,1,0,1,0,0,2,75,1,초등학교,60,1,YES,337890,12899,36711,322
2014,2,1,0,0,1,1,46,3,고등학교,66,2,NO,3401600,431173,52172,19813
2014,3,1,0,0,1,1,38,3,고등학교,60,1,YES,2976624,326733,53911,31091
2014,4,2,0,1,0,1,54,2,중학교,83,1,YES,1265168,107596,47239,7656
2014,2,1,0,0,1,1,31,4,"전문대(초급대,2·3년제 대학포함)",60,1,YES,897640,145346,9293,4126
2014,1,1,1,0,0,2,76,2,중학교,60,1,YES,568253,23531,49215,26211
2014,5,2,0,1,0,1,46,5,대학교(4년제 대학포함),109,1,YES,4099978,471131,70330,5243
2014,4,1,0,0,1,1,41,3,고등학교,49,1,YES,3346612,481892,56909,31244
2014,4,1,0,0,1,1,36,4,"전문대(초급대,2·3년제 대학포함)",49,1,YES,4378442,289892,59184,18294
2014,1,1,0,0,1,1,28,4,"전문대(초급대,2·3년제 대학포함)",35,2,NO,892883,149351,3925,696
2014,4,1,0,0,1,1,37,3,고등학교,60,1,YES,2794475,289268,95614,9609
2014,4,2,0,1,0,1,37,5,대학교(4년제 대학포함),85,1,YES,3346163,302489,69070,11675
2014,5,3,0,1,0,1,52,3,고등학교,85,1,YES,3722586,850600,52160,0
2014,4,1,0,0,1,1,39,5,대학교(4년제 대학포함),84,1,YES,4288291,257684,148187,63223
2014,1,0,1,0,0,2,83,0,무학,84,2,NO,1775530,4975,86413,3228
2014,3,3,0,1,0,1,55,2,중학교,79,2,NO,1500571,355489,49656,9670
2014,4,2,0,1,0,1,46,3,고등학교,79,2,NO,1614688,351960,65771,1176
2014,4,2,0,0,1,2,75,0,무학,45,1,YES,665950,121000,10000,3800
2014,5,1,0,0,1,1,39,3,고등학교,59,2,NO,2080621,332816,15161,8777
2014,2,1,0,0,1,2,54,3,고등학교,59,1,YES,2209948,590006,36592,2764
2014,2,0,0,0,0,2,37,5,대학교(4년제 대학포함),72,2,NO,1655904,180363,69320,0
2014,3,2,0,1,0,1,45,3,고등학교,76,1,YES,3398652,743175,53837,19805
2014,3,2,0,0,1,2,63,2,중학교,66,1,YES,1816867,340066,92786,7295
2014,2,1,1,0,0,2,65,2,중학교,59,1,YES,964478,85379,35389,0
