Year,Cnt,Hiredcnt,ElderCnt,DualincomeCnt,NormalCnt,GenderCode,Age,EduCode,Edu,ResidentialArea,HouseCnt,HouseCode,Spending,Meals,Meat,MeatProducts
2019,2,1,0,0,1,1,31,6,대학교(4년제 이상),60,1,YES,2390987,508942,80949,4210
2019,3,2,0,1,0,1,47,6,대학교(4년제 이상),60,1,YES,2913345,413786,54423,19744
2019,2,0,1,0,0,1,78,4,고등학교,43,1,YES,955554,163300,0,83030
2019,2,2,0,1,0,1,61,3,중학교,60,1,YES,1930377,25013,77537,1165
2019,4,2,0,1,0,1,43,6,대학교(4년제 이상),60,1,YES,3572831,526632,35865,40740
2019,2,0,0,0,1,1,65,4,고등학교,60,1,YES,1989646,399000,20250,0
2019,2,2,0,1,0,1,54,6,대학교(4년제 이상),84,1,YES,2560488,266822,60406,12710
2019,3,1,0,0,1,1,37,7,대학원(석사),78,2,NO,2267382,284341,22466,6270
2019,3,0,0,0,1,1,72,4,고등학교,83,1,YES,1409736,209600,71536,26569
2019,4,1,0,0,1,1,39,5,대학교(3년제 이하),85,1,YES,2365606,354519,55090,39746
2019,1,1,1,0,0,1,67,4,고등학교,23,2,NO,1054210,283429,33959,0
2019,1,1,0,0,1,2,44,6,대학교(4년제 이상),23,2,NO,1398456,121757,3397,5707
2019,1,0,0,0,1,1,22,6,대학교(4년제 이상),23,2,NO,811113,280700,6998,0
2019,1,1,0,0,1,1,32,7,대학원(석사),31,2,NO,2298827,483577,61873,1641
2019,1,1,0,0,1,1,49,4,고등학교,57,2,NO,1733266,406693,18406,5122
2019,2,0,0,0,1,1,73,3,중학교,57,1,YES,770714,49474,16938,2402
2019,1,1,0,0,1,1,32,5,대학교(3년제 이하),33,2,NO,1329212,292600,0,4800
2019,2,2,0,0,1,1,29,7,대학원(석사),40,2,NO,3352285,686105,0,1500
2019,1,1,0,0,1,1,34,6,대학교(4년제 이상),56,2,NO,2329825,393800,20500,6980
2019,1,1,0,0,1,2,53,3,중학교,20,1,YES,1015848,198317,10733,11733
2019,3,3,0,1,0,1,53,6,대학교(4년제 이상),84,1,YES,3208450,508278,52317,23543
2019,3,3,0,1,0,1,49,6,대학교(4년제 이상),73,1,YES,3032254,729300,91230,0
2019,3,1,0,0,1,1,37,5,대학교(3년제 이하),73,1,YES,1591607,210600,47460,29960
2019,4,1,0,0,1,1,36,7,대학원(석사),59,1,YES,3510799,228860,74983,23007
2019,1,1,1,0,0,1,70,2,초등학교,59,1,YES,522422,65000,53833,756
2019,2,2,0,0,1,1,50,4,고등학교,99,1,YES,690670,52750,35703,3608
2019,2,1,0,0,1,2,61,2,초등학교,60,1,YES,992689,80833,15535,0
2019,1,1,0,0,1,2,44,5,대학교(3년제 이하),59,1,YES,1249005,367500,0,0
2019,4,2,0,1,0,1,41,6,대학교(4년제 이상),85,1,YES,3637755,368228,144012,87636
2019,2,0,0,0,1,2,40,4,고등학교,60,2,NO,3442819,308888,57995,0
2019,2,0,1,0,0,1,80,4,고등학교,85,1,YES,733958,17300,49637,0
2019,2,2,0,1,0,1,60,6,대학교(4년제 이상),84,1,YES,2803299,406757,114450,3906
2019,5,1,0,0,1,1,39,5,대학교(3년제 이하),84,1,YES,6122584,241908,60357,16069
2019,1,1,1,0,0,2,82,3,중학교,84,1,YES,514118,111091,10909,0
2019,2,2,0,0,1,2,61,2,초등학교,84,2,NO,2827008,558275,45120,7095
2019,3,1,0,0,1,1,31,5,대학교(3년제 이하),84,1,YES,2240814,511189,45660,11441
2019,4,2,0,1,0,1,35,5,대학교(3년제 이하),84,2,NO,4499315,458670,60588,20685
2019,4,2,0,1,0,1,43,6,대학교(4년제 이상),84,2,NO,3458709,592475,47228,15583
2019,3,2,0,1,0,1,44,4,고등학교,84,1,YES,6802462,688670,188193,3520
2019,1,1,1,0,0,2,72,2,초등학교,102,2,NO,1012127,110400,9332,2548
2019,3,1,0,0,1,1,48,6,대학교(4년제 이상),83,1,YES,1648808,353367,55933,13427
2019,3,2,0,1,0,1,46,4,고등학교,83,1,YES,1618473,304735,61040,15925
2019,4,1,0,0,1,1,47,4,고등학교,59,1,YES,4020218,295400,82184,17310
2019,1,1,0,0,1,2,59,4,고등학교,40,2,NO,866470,51500,21250,0
2019,2,2,0,1,0,1,65,4,고등학교,100,1,YES,3101652,334375,38500,8495
2019,2,1,0,0,1,1,66,4,고등학교,52,1,YES,2349676,401527,34916,2613
2019,4,2,0,1,0,1,45,6,대학교(4년제 이상),59,1,YES,3483251,432263,10027,16668
2019,4,1,0,0,1,1,47,4,고등학교,132,1,YES,1601955,193367,85250,27427
2019,3,1,0,0,1,1,72,2,초등학교,148,1,YES,1509953,300829,35559,1067
2019,1,1,0,0,1,1,28,5,대학교(3년제 이하),20,2,NO,1600468,550850,0,0
2019,2,0,1,0,0,1,85,2,초등학교,50,2,NO,502178,40333,5000,0
2019,1,0,1,0,0,2,75,4,고등학교,66,1,YES,382603,14929,4171,357
2019,1,1,1,0,0,2,83,2,초등학교,83,1,YES,784038,58300,33896,2200
2019,2,2,1,1,0,1,76,3,중학교,99,1,YES,575803,0,25025,2718
2019,2,2,0,1,0,1,71,3,중학교,116,1,YES,1279076,123682,41000,0
2019,3,1,0,0,1,1,37,6,대학교(4년제 이상),84,2,NO,1685442,356200,0,0
2019,2,2,0,1,0,1,49,6,대학교(4년제 이상),84,2,NO,2869334,317343,72291,11819
2019,2,1,0,0,1,2,58,4,고등학교,60,1,YES,1812574,264375,57528,0
2019,2,0,0,0,1,1,75,1,무학,59,1,YES,671139,16900,22808,700
2019,1,1,1,0,0,2,72,2,초등학교,59,1,YES,1746860,57000,47025,7500
