Year,Cnt,Hiredcnt,ElderCnt,DualincomeCnt,NormalCnt,GenderCode,Age,EduCode,Edu,ResidentialArea,HouseCnt,HouseCode,Spending,Meals,Meat,MeatProducts
2016,1,1,0,0,1,1,39,5,대학교(4년제 대학포함),85,2,NO,2318593,331779,0,965
2016,4,1,0,0,1,1,37,4,"전문대(초급대,2ㆍ3년제 대학포함)",85,2,NO,2748412,452076,47152,37011
2016,4,1,0,0,1,1,46,4,"전문대(초급대,2ㆍ3년제 대학포함)",85,1,YES,3741257,422489,89951,41184
2016,2,1,0,0,1,1,58,6,대학원(석사),85,1,YES,1617414,196299,25918,15969
2016,2,0,1,0,0,1,74,1,초등학교,60,1,YES,638534,81828,54679,0
2016,2,0,1,0,0,1,73,2,중학교,73,1,YES,1504653,285172,41027,401
2016,3,1,0,0,1,1,30,4,"전문대(초급대,2ㆍ3년제 대학포함)",60,2,NO,1515496,258705,17632,2935
2016,3,1,0,0,1,1,38,6,대학원(석사),60,2,NO,2384423,235030,34323,24172
2016,4,2,0,1,0,1,49,2,중학교,60,1,YES,1980296,248163,33298,6079
2016,3,1,0,0,1,1,64,4,"전문대(초급대,2ㆍ3년제 대학포함)",60,1,YES,696351,31256,10055,1242
2016,4,3,0,0,1,2,46,3,고등학교,39,2,NO,1055943,147120,22380,10400
2016,5,1,0,0,1,2,57,1,초등학교,60,1,YES,2144831,83911,28189,18031
2016,2,2,1,1,0,1,76,3,고등학교,60,1,YES,1515772,277561,12006,6297
2016,5,3,0,0,1,1,49,3,고등학교,60,1,YES,2843139,637088,113758,22645
2016,6,4,0,1,0,1,58,3,고등학교,60,1,YES,2557499,314234,43371,15284
2016,2,0,0,0,1,1,64,3,고등학교,69,2,NO,1420049,85143,26378,4143
2016,4,1,0,0,1,1,41,5,대학교(4년제 대학포함),84,1,YES,2277838,228386,40909,15701
2016,4,3,0,0,1,1,48,3,고등학교,84,1,YES,5218274,875261,97406,26715
2016,1,1,1,0,0,2,67,2,중학교,58,1,YES,3158308,92926,62229,14443
2016,4,1,0,0,1,1,41,3,고등학교,66,2,NO,1739745,306230,4777,11628
2016,2,1,0,0,1,1,62,0,무학,60,1,YES,876996,12876,17626,8292
2016,3,3,0,1,0,1,55,3,고등학교,60,2,NO,4941739,540526,180648,21014
2016,2,2,0,0,1,2,56,2,중학교,60,1,YES,1008757,316453,6933,8515
2016,2,2,0,1,0,1,45,6,대학원(석사),125,1,YES,3749330,281166,38378,12865
2016,4,1,0,0,1,1,48,4,"전문대(초급대,2ㆍ3년제 대학포함)",125,1,YES,3486884,415601,44107,7878
2016,4,1,0,0,1,1,31,3,고등학교,76,1,YES,2761707,218509,24343,27176
2016,4,1,0,0,1,1,44,3,고등학교,99,1,YES,1461818,131124,41707,14290
2016,1,1,0,0,1,2,39,5,대학교(4년제 대학포함),99,1,YES,1247154,95394,4334,221
2016,3,1,0,0,1,1,24,3,고등학교,49,2,NO,2688770,616299,55746,0
2016,3,1,0,0,1,1,40,5,대학교(4년제 대학포함),50,1,YES,5427811,339850,33354,10021
2016,1,1,0,0,1,1,45,3,고등학교,50,1,YES,2176449,571635,7218,8676
2016,1,1,0,0,1,1,40,3,고등학교,49,2,NO,1124763,209238,1257,1422
2016,2,1,0,0,1,1,51,5,대학교(4년제 대학포함),49,2,NO,819327,27180,72957,0
2016,2,1,0,0,1,1,48,3,고등학교,49,2,NO,1051526,131436,55953,978
2016,3,1,0,0,1,1,65,0,무학,59,1,YES,822073,72824,5803,0
2016,2,1,0,0,1,2,64,3,고등학교,33,2,NO,359080,19612,34351,0
2016,3,1,0,0,1,1,60,3,고등학교,39,2,NO,632549,163990,46276,0
2016,1,1,0,0,1,1,63,5,대학교(4년제 대학포함),23,2,NO,2015800,920500,13530,0
2016,3,0,0,0,1,1,73,3,고등학교,78,1,YES,1071975,103677,58703,8248
2016,4,2,0,1,0,1,50,3,고등학교,60,1,YES,1430965,101056,12596,4217
2016,4,3,0,1,0,1,50,3,고등학교,84,1,YES,2750775,403069,34218,5658
2016,4,1,0,0,1,1,37,4,"전문대(초급대,2ㆍ3년제 대학포함)",84,1,YES,2417010,161480,40389,12976
2016,4,2,0,1,0,1,51,5,대학교(4년제 대학포함),84,1,YES,6030231,659087,114444,26815
2016,3,2,0,1,0,1,49,3,고등학교,84,1,YES,3842646,479409,131953,4554
2016,2,1,0,0,1,1,44,3,고등학교,76,1,YES,2183282,726178,105140,4550
2016,2,2,0,1,0,1,63,1,초등학교,86,1,YES,1374742,285286,65429,80578
2016,3,1,0,0,1,1,47,3,고등학교,73,1,YES,2066795,524740,83565,6942
2016,1,1,0,0,1,2,55,6,대학원(석사),125,1,YES,1978640,271435,65155,18739
2016,3,1,0,0,1,1,54,5,대학교(4년제 대학포함),57,2,NO,1268706,207183,3143,22076
2016,1,1,0,0,1,2,49,5,대학교(4년제 대학포함),17,2,NO,1391077,200785,10516,15232
2016,4,1,0,0,1,1,45,3,고등학교,96,2,NO,3451676,352679,104194,20961
2016,4,2,0,1,0,1,44,4,"전문대(초급대,2ㆍ3년제 대학포함)",96,1,YES,3326581,501828,49699,25094
2016,1,0,1,0,0,2,78,5,대학교(4년제 대학포함),49,1,YES,255416,9387,19954,1360
2016,1,0,1,0,0,2,81,1,초등학교,99,2,NO,783516,5590,15315,2170
2016,2,1,0,0,1,2,63,3,고등학교,73,1,YES,1029832,141041,10195,3623
2016,2,0,1,0,0,1,79,2,중학교,80,1,YES,755806,86998,13421,2458
2016,1,0,1,0,0,2,81,3,고등학교,49,1,YES,297953,17806,828,0
2016,1,0,1,0,0,2,69,3,고등학교,49,1,YES,420127,15541,18153,1100
2016,3,3,0,1,0,1,58,5,대학교(4년제 대학포함),52,2,NO,1744282,292500,97000,10500
2016,3,1,0,0,1,1,51,5,대학교(4년제 대학포함),52,2,NO,1058574,238410,58243,3655
2016,4,2,0,1,0,1,40,4,"전문대(초급대,2ㆍ3년제 대학포함)",60,2,NO,2281145,229534,84820,8303
2016,1,1,0,0,1,2,48,3,고등학교,47,2,NO,1555660,124086,46062,6317
2016,1,1,0,0,1,1,63,3,고등학교,47,2,NO,716953,64623,431,0
2016,1,1,0,0,1,1,51,3,고등학교,40,2,NO,888970,202626,3340,0
2016,2,2,1,1,0,1,72,5,대학교(4년제 대학포함),163,1,YES,3680769,125855,185936,9313
2016,3,3,0,1,0,1,61,2,중학교,155,1,YES,2152458,183121,33792,3126
2016,2,1,0,0,1,1,64,1,초등학교,76,1,YES,1028396,88055,44266,5511
2016,2,2,0,1,0,1,51,3,고등학교,69,1,YES,1305868,95176,74021,771
2016,2,2,0,0,1,2,51,6,대학원(석사),76,1,YES,1971923,449505,41819,3023
2016,3,2,0,0,1,1,61,3,고등학교,76,1,YES,2308746,291369,144438,2346
2016,2,2,0,1,0,1,72,3,고등학교,76,1,YES,1258447,140048,21938,3103
2016,3,2,0,0,1,1,62,2,중학교,90,1,YES,3412123,262673,57659,2767
2016,1,0,1,0,0,2,70,1,초등학교,50,2,NO,366069,4248,7251,0
2016,1,1,0,0,1,2,53,2,중학교,50,1,YES,1203725,173836,46892,2279
2016,1,0,1,0,0,1,74,3,고등학교,43,1,YES,632925,141547,20342,0
2016,3,2,0,0,1,1,58,3,고등학교,84,1,YES,2272054,374944,144666,6481
2016,4,1,0,0,1,1,41,3,고등학교,84,1,YES,3731450,120204,35877,20795
2016,3,3,0,0,1,2,55,5,대학교(4년제 대학포함),84,1,YES,2747323,197900,23984,9731
2016,3,2,0,1,0,1,48,5,대학교(4년제 대학포함),84,1,YES,2598457,392993,77547,39259
2016,4,1,0,0,1,1,44,3,고등학교,84,1,YES,3171347,152818,82277,17187
2016,2,0,1,0,0,1,72,3,고등학교,73,1,YES,1388907,79432,130321,11784
2016,1,1,0,0,1,2,52,3,고등학교,66,2,NO,1684453,144998,90511,3318
2016,4,1,0,0,1,1,29,3,고등학교,60,1,YES,2987953,260699,92078,12051
2016,3,2,0,1,0,1,49,3,고등학교,79,1,YES,5009297,303236,103811,8003
2016,3,2,0,1,0,1,52,4,"전문대(초급대,2ㆍ3년제 대학포함)",79,2,NO,5227593,372313,51737,17025
2016,2,1,0,0,1,1,42,3,고등학교,79,1,YES,624126,95609,30479,2028
2016,3,2,0,0,1,2,65,1,초등학교,79,1,YES,1771594,486125,23031,13176
2016,3,2,0,1,0,1,34,3,고등학교,79,1,YES,2151363,429649,58148,0
2016,2,2,0,1,0,1,63,3,고등학교,60,1,YES,1876506,315144,40672,22206
2016,3,2,0,0,1,2,59,2,중학교,93,1,YES,1842587,197341,32876,5381
2016,2,0,1,0,0,1,80,5,대학교(4년제 대학포함),93,1,YES,972960,107844,28614,5539
2016,2,1,1,0,0,1,74,5,대학교(4년제 대학포함),93,1,YES,2884353,169490,21371,731
2016,2,1,0,0,1,1,67,2,중학교,93,1,YES,975802,152717,76366,0
2016,2,1,1,0,0,2,73,0,무학,56,2,NO,1938934,98577,32216,851
2016,4,2,0,1,0,1,45,4,"전문대(초급대,2ㆍ3년제 대학포함)",47,2,NO,5023101,553100,43505,3058
2016,2,0,1,0,0,1,80,1,초등학교,56,1,YES,860735,24783,36589,964
2016,2,1,0,0,1,1,54,4,"전문대(초급대,2ㆍ3년제 대학포함)",60,1,YES,780264,145875,11763,1962
2016,3,2,0,0,1,2,30,5,대학교(4년제 대학포함),60,2,NO,1755587,328136,22980,0
2016,1,0,1,0,0,2,70,0,무학,60,1,YES,810052,56500,29260,0
2016,1,1,0,0,1,2,51,1,초등학교,60,1,YES,1879634,179099,43317,17754
2016,2,1,0,0,1,2,50,3,고등학교,60,1,YES,1484980,199044,60428,2095
2016,2,1,1,0,0,1,74,3,고등학교,85,1,YES,1245636,29186,62026,0
2016,2,1,0,0,1,1,60,2,중학교,30,2,NO,787102,43292,5069,0
2016,1,1,1,0,0,2,71,2,중학교,71,2,NO,735826,68524,21916,3351
2016,2,2,0,1,0,1,58,5,대학교(4년제 대학포함),69,2,NO,1366034,77890,27637,9727
2016,2,2,0,1,0,1,57,3,고등학교,69,2,NO,1605429,217401,21297,2470
2016,3,1,0,0,1,1,66,2,중학교,63,1,YES,1540990,183138,38445,1492
2016,1,1,0,0,1,2,63,1,초등학교,63,1,YES,1299568,12739,8635,0
2016,4,3,0,1,0,1,51,3,고등학교,104,1,YES,2838445,272637,46794,3539
2016,2,2,0,0,1,1,55,5,대학교(4년제 대학포함),104,1,YES,2862285,281327,145300,55457
2016,2,1,1,0,0,1,75,3,고등학교,60,2,NO,1475591,6012,49847,0
2016,3,2,0,1,0,1,45,5,대학교(4년제 대학포함),60,1,YES,4048464,923053,110501,24548
2016,2,2,0,1,0,1,56,3,고등학교,60,1,YES,2142918,409237,46054,11889
2016,2,0,0,0,1,2,74,0,무학,66,1,YES,378894,11305,16132,2613
2016,2,1,1,0,0,1,68,3,고등학교,99,1,YES,1821453,504381,22670,2212
2016,2,2,0,0,1,1,42,3,고등학교,92,1,YES,2050783,172834,18781,120
2016,2,2,0,1,0,1,67,1,초등학교,80,1,YES,1063862,182353,25634,0
2016,1,0,0,0,1,2,55,5,대학교(4년제 대학포함),60,1,YES,499793,14997,0,0
2016,1,1,0,0,1,2,51,3,고등학교,60,1,YES,867038,106000,41800,0
2016,1,0,0,0,1,2,63,1,초등학교,52,2,NO,845161,35516,40666,5449
2016,2,2,0,1,0,1,44,3,고등학교,76,1,YES,2761181,363947,111211,9883
2016,2,2,0,1,0,1,33,3,고등학교,76,1,YES,2130814,312680,86156,8000
2016,5,1,0,0,1,1,43,3,고등학교,76,1,YES,1528843,367878,44934,4883
2016,3,3,0,1,0,1,52,2,중학교,76,1,YES,2935062,840325,192235,0
2016,2,1,0,0,1,1,65,5,대학교(4년제 대학포함),89,1,YES,1149626,347554,56416,5629
2016,4,1,0,0,1,1,42,4,"전문대(초급대,2ㆍ3년제 대학포함)",89,1,YES,3599203,502614,47812,28360
2016,5,3,0,1,0,1,49,3,고등학교,89,1,YES,3396741,822635,22793,10621
2016,4,2,0,1,0,1,39,3,고등학교,89,1,YES,2684810,562412,24059,16653
2016,4,2,0,1,0,1,44,3,고등학교,89,1,YES,11628558,421749,59873,23067
2016,2,1,0,0,0,2,45,3,고등학교,50,2,NO,3272835,465797,51687,7325
2016,4,3,0,1,0,1,47,3,고등학교,104,1,YES,3033724,797400,26980,16920
2016,2,1,0,0,1,1,67,2,중학교,104,1,YES,1506125,259491,103775,13732
2016,4,1,0,0,1,1,41,4,"전문대(초급대,2ㆍ3년제 대학포함)",104,1,YES,2398944,389203,80863,12082
2016,1,0,1,0,0,2,82,2,중학교,104,1,YES,332224,8052,24387,6270
2016,6,4,0,0,1,1,60,2,중학교,82,1,YES,4384614,828807,58905,13116
2016,4,1,0,0,1,1,47,3,고등학교,91,1,YES,3498579,512991,119852,23035
2016,3,2,0,1,0,1,35,5,대학교(4년제 대학포함),91,1,YES,3098512,148239,11232,2666
2016,1,1,0,0,1,2,63,1,초등학교,86,1,YES,754542,29770,41363,8497
2016,3,2,0,1,0,1,47,4,"전문대(초급대,2ㆍ3년제 대학포함)",105,1,YES,1661522,103319,45079,12549
2016,2,1,0,0,1,2,50,5,대학교(4년제 대학포함),42,2,NO,1980652,322336,19747,5947
2016,1,0,1,0,0,2,69,1,초등학교,42,1,YES,530878,49506,16183,376
2016,1,1,0,0,1,2,52,3,고등학교,65,1,YES,1391119,343426,23510,0
2016,4,3,0,0,1,1,50,2,중학교,59,1,YES,2504455,370178,62673,12376
2016,2,1,0,0,1,1,50,5,대학교(4년제 대학포함),59,1,YES,2000547,205262,51177,0
2016,4,1,0,0,1,1,44,4,"전문대(초급대,2ㆍ3년제 대학포함)",60,1,YES,2166868,198645,36704,12497
2016,3,1,0,0,1,1,49,2,중학교,60,1,YES,1153637,177883,38940,11741
