Year,Cnt,Hiredcnt,ElderCnt,DualincomeCnt,NormalCnt,GenderCode,Age,EduCode,Edu,ResidentialArea,HouseCnt,HouseCode,Spending,Meals,Meat,MeatProducts
2015,3,1,0,0,1,1,53,3,고등학교,60,1,있음,2453886,118127,43175,3035
2015,2,2,0,1,0,1,59,4,"전문대(초급대,2·3년제 대학포함)",115,1,있음,3464373,251373,26976,37617
2015,4,0,0,0,0,2,38,4,"전문대(초급대,2·3년제 대학포함)",75,1,있음,2625595,179956,293553,26025
2015,1,0,1,0,0,2,84,1,초등학교,72,1,있음,540557,78381,13678,0
2015,3,3,0,1,0,1,61,2,중학교,75,1,있음,5537148,759515,81171,4460
2015,1,1,1,0,0,2,73,2,중학교,75,1,있음,671517,32292,17562,0
2015,2,0,1,0,0,1,81,3,고등학교,60,1,있음,421629,37563,9016,11777
2015,1,1,0,0,1,2,49,1,초등학교,40,2,없음,772947,155884,14410,3397
2015,1,1,0,0,1,2,51,3,고등학교,50,2,없음,1390319,117278,24671,1922
2015,1,1,0,0,1,2,59,2,중학교,24,2,없음,655579,44479,29808,596
2015,1,1,0,0,1,1,44,5,대학교(4년제 대학포함),26,2,없음,794781,166427,1678,399
2015,1,1,0,0,1,2,33,5,대학교(4년제 대학포함),49,2,없음,1593382,217213,12959,5448
2015,2,2,0,1,0,1,30,4,"전문대(초급대,2·3년제 대학포함)",60,1,있음,1372036,345243,9961,7906
2015,2,0,0,0,1,2,53,3,고등학교,49,2,없음,524810,26867,53680,0
2015,1,0,1,0,0,2,81,3,고등학교,49,1,있음,303019,8498,0,0
2015,1,1,0,0,1,2,46,5,대학교(4년제 대학포함),40,2,없음,712201,61898,8381,2989
2015,4,1,0,0,1,1,38,5,대학교(4년제 대학포함),84,1,있음,2905937,392682,63079,47738
2015,3,3,0,1,0,1,60,1,초등학교,144,1,있음,2287968,475331,50193,1903
2015,1,0,1,0,0,2,81,1,초등학교,42,2,없음,739711,29479,10000,0
2015,3,1,0,0,1,1,57,2,중학교,32,1,있음,1558588,200166,36874,2808
2015,4,2,0,0,1,2,71,0,무학,99,1,있음,969220,150000,10000,0
2015,3,2,0,0,1,2,61,1,초등학교,46,1,있음,948306,290000,10500,500
2015,1,0,1,0,0,2,69,3,고등학교,49,1,있음,534285,17923,15016,1955
2015,2,2,0,1,0,1,44,6,대학원(석사),125,1,있음,2875730,323685,20497,5723
2015,5,1,0,0,1,1,48,4,"전문대(초급대,2·3년제 대학포함)",125,1,있음,2535678,550978,51933,13886
2015,2,2,0,1,0,2,53,2,중학교,50,2,없음,2217949,331564,15753,6371
2015,2,1,0,0,1,1,48,3,고등학교,89,2,없음,3332899,323283,64962,32063
2015,2,1,0,0,1,1,61,0,무학,60,1,있음,758982,11710,9123,7597
2015,4,1,0,0,1,1,35,3,고등학교,60,2,없음,1881412,143885,6744,10153
2015,2,1,0,0,1,2,52,2,중학교,33,2,없음,1759729,222695,30385,0
