Year,Cnt,Hiredcnt,ElderCnt,DualincomeCnt,NormalCnt,GenderCode,Age,EduCode,Edu,ResidentialArea,HouseCnt,HouseCode,Spending,Meals,Meat,MeatProducts
2018,1,0,1,0,0,2,67,2,초등학교,40,1,YES,610070,89000,74210,990
2018,2,1,0,0,1,1,59,2,초등학교,40,2,NO,1483859,186000,166930,0
2018,2,0,0,0,1,1,71,7,대학원,106,2,NO,2555770,251000,52500,0
2018,2,2,0,1,0,1,47,6,대학교(4년제 이상),109,2,NO,2452390,438860,59470,0
2018,2,0,1,0,0,1,80,5,대학교(3년제 이하),109,2,NO,697263,59200,71735,8900
2018,3,1,0,0,1,1,65,4,고등학교,109,1,YES,2082512,150300,58080,0
2018,3,3,0,1,0,1,57,4,고등학교,60,2,NO,2515406,772700,100060,37900
2018,1,0,1,0,0,2,70,4,고등학교,20,2,NO,455677,0,11500,1000
2018,4,3,0,1,0,1,65,4,고등학교,84,1,YES,4915886,716200,250800,0
2018,3,2,0,1,0,1,44,5,대학교(3년제 이하),84,2,NO,3302485,651400,25900,0
2018,2,2,1,1,0,1,76,2,초등학교,76,2,NO,1467440,0,50000,35200
2018,1,0,1,0,0,2,86,1,무학,50,2,NO,678950,0,50000,0
2018,2,1,0,0,1,1,55,5,대학교(3년제 이하),85,2,NO,4711550,800500,67390,8090
2018,2,1,0,0,1,1,55,4,고등학교,40,2,NO,1354804,529800,0,0
2018,4,2,0,1,0,1,49,4,고등학교,66,1,YES,3605281,525700,32910,15980
2018,3,2,0,1,0,1,35,6,대학교(4년제 이상),59,1,YES,1321476,355000,0,0
2018,1,1,1,0,0,2,68,1,무학,106,2,NO,1803167,262600,53047,0
2018,1,0,1,0,0,2,78,1,무학,43,2,NO,328448,0,0,0
2018,2,0,0,0,1,2,84,1,무학,43,2,NO,860723,302000,35000,0
2018,4,2,0,1,0,1,37,6,대학교(4년제 이상),85,2,NO,3564299,621500,13720,67270
2018,1,0,1,0,0,2,69,4,고등학교,82,2,NO,956206,125500,89130,0
2018,3,1,0,0,1,1,35,6,대학교(4년제 이상),59,2,NO,2383990,517500,46210,13580
2018,2,0,1,0,0,1,66,6,대학교(4년제 이상),84,2,NO,1961443,58300,89057,27292
2018,2,1,0,0,1,2,47,6,대학교(4년제 이상),135,2,NO,5696248,350900,219100,8680
2018,1,1,0,0,1,1,23,6,대학교(4년제 이상),15,2,NO,800280,366600,0,0
2018,1,0,1,0,0,2,65,3,중학교,84,2,NO,622970,1000,20000,0
2018,1,1,0,0,1,2,57,4,고등학교,58,2,NO,1017520,202600,3600,0
2018,3,2,0,1,0,2,52,7,대학원,124,1,YES,3422333,742000,55390,0
2018,4,0,0,0,1,1,78,2,초등학교,50,2,NO,1749959,147100,37800,14150
2018,1,1,0,0,1,2,24,6,대학교(4년제 이상),23,2,NO,1477813,103800,0,23900
2018,2,1,0,0,1,1,62,2,초등학교,83,2,NO,1906266,264000,126200,0
2018,2,1,0,0,1,2,68,2,초등학교,49,2,NO,1190046,20000,163410,0
2018,2,0,0,0,1,1,65,7,대학원,109,1,YES,2830707,402300,147045,35190
2018,1,1,0,0,1,2,62,3,중학교,85,2,NO,1942102,290500,19500,0
2018,1,0,1,0,0,1,72,4,고등학교,79,2,NO,1303140,334000,27560,0
2018,3,1,0,0,1,1,68,2,초등학교,165,2,NO,2220503,384700,35100,0
2018,4,2,0,0,1,1,56,4,고등학교,165,2,NO,4057583,694690,15350,720
2018,2,0,1,0,0,1,75,4,고등학교,164,1,YES,845075,175000,32750,0
2018,2,2,0,1,0,2,63,4,고등학교,74,2,NO,1725876,181000,60220,0
2018,2,1,0,0,1,2,63,7,대학원,74,2,NO,2135436,352400,24840,10000
2018,2,1,0,0,1,1,60,6,대학교(4년제 이상),89,1,YES,2619461,326880,222760,6980
2018,1,1,0,0,1,1,33,6,대학교(4년제 이상),73,1,YES,1402744,162000,0,0
2018,1,1,0,0,1,1,34,5,대학교(3년제 이하),46,2,NO,1526513,433600,59800,0
2018,2,1,0,0,1,1,55,4,고등학교,46,2,NO,1002328,301000,0,0
2018,4,1,0,0,1,1,46,6,대학교(4년제 이상),132,1,YES,4866711,647600,151460,6980
2018,1,0,0,0,1,1,48,6,대학교(4년제 이상),59.1,2,NO,391624,19000,0,6450
2018,1,0,1,0,0,1,72,2,초등학교,51,2,NO,1482285,361000,26700,20000
2018,1,1,0,0,1,2,44,6,대학교(4년제 이상),51,2,NO,1117110,129890,47216,0
2018,2,1,0,0,1,1,67,4,고등학교,85,2,NO,1438394,137200,33400,960
2018,2,2,0,1,0,1,63,4,고등학교,85,2,NO,1852392,234100,21690,3200
2018,2,2,0,1,0,1,65,2,초등학교,50,2,NO,775587,99000,58800,16000
2018,2,1,0,0,1,2,76,1,무학,59,2,NO,585662,0,32000,0
2018,1,1,0,0,1,2,29,6,대학교(4년제 이상),84,2,NO,2348647,403720,137136,3180
2018,2,2,0,0,1,1,45,5,대학교(3년제 이하),119,2,NO,1161017,111000,114001,0
2018,1,1,1,0,0,2,85,1,무학,91,2,NO,433940,19000,21200,0
2018,2,0,0,0,1,1,64,7,대학원,106,2,NO,3061666,207500,83920,4480
2018,1,1,0,0,1,1,51,4,고등학교,30,2,NO,977780,223000,0,5000
2018,1,0,0,0,1,2,51,4,고등학교,74,1,YES,702210,48830,13100,14880
2018,4,2,0,1,0,1,45,6,대학교(4년제 이상),115,1,YES,4712765,285100,45080,24300
2018,3,2,0,0,1,2,45,4,고등학교,89,2,NO,2248866,857620,81550,11540
2018,3,1,0,0,1,1,33,4,고등학교,92,2,NO,2173669,301400,93740,10000
2018,2,1,0,0,1,2,65,4,고등학교,115,2,NO,3635605,495000,40000,0
2018,1,1,1,0,0,1,67,2,초등학교,59,2,NO,443544,70000,77890,0
2018,3,2,0,1,0,1,47,4,고등학교,109,2,NO,3236387,918900,29280,1500
2018,1,1,0,0,1,2,62,4,고등학교,50,2,NO,1434197,120000,0,10000
2018,2,2,0,1,0,1,31,4,고등학교,33,2,NO,2645826,263400,45000,3980
2018,3,1,0,0,1,1,31,5,대학교(3년제 이하),23,2,NO,1576720,131800,61500,26000
2018,2,0,1,0,0,1,78,2,초등학교,36,2,NO,965647,47900,51568,5250
2018,1,0,1,0,0,2,84,2,초등학교,60,2,NO,471917,0,20000,0
2018,4,1,0,0,1,2,46,5,대학교(3년제 이하),50,2,NO,2731784,675100,56150,9990
2018,2,1,0,0,1,1,61,3,중학교,62,2,NO,817110,245000,15000,0
2018,1,1,1,0,0,2,77,2,초등학교,73,2,NO,861740,0,20000,0
2018,2,2,0,1,0,1,58,4,고등학교,73,2,NO,1418700,102000,77950,2400
2018,2,2,0,1,0,1,59,4,고등학교,66,2,NO,2774828,43300,122500,0
2018,2,2,1,1,0,1,81,2,초등학교,66,2,NO,635553,20000,0,0
2018,2,0,1,0,0,1,85,4,고등학교,79,2,NO,820777,120000,26980,0
2018,4,1,0,0,1,1,54,4,고등학교,89,2,NO,4099559,434500,37905,11630
2018,1,0,1,0,0,2,68,2,초등학교,89,2,NO,944587,96400,58200,0
2018,3,1,0,0,1,1,79,7,대학원,89,2,NO,1425573,68400,49000,4860
2018,3,2,0,1,0,1,27,5,대학교(3년제 이하),59,2,NO,4068976,886400,32480,0
2018,1,0,0,0,1,2,52,4,고등학교,17,2,NO,655007,0,6080,1000
2018,1,0,1,0,0,1,68,1,무학,17,2,NO,549101,24000,0,23600
2018,1,1,0,0,1,1,58,4,고등학교,30,1,YES,2118006,186990,63690,7990
2018,1,1,0,0,1,1,24,3,중학교,30,2,NO,807747,237000,0,4000
2018,1,0,1,0,0,1,69,6,대학교(4년제 이상),30,2,NO,1114916,531900,0,0
2018,2,0,1,0,0,1,71,2,초등학교,59,2,NO,1330760,193000,123750,0
2018,2,0,1,0,0,1,75,2,초등학교,70,2,NO,1939383,180000,284683,9830
2018,1,1,1,0,0,2,72,2,초등학교,99,2,NO,772827,62000,5271,0
2018,6,4,0,1,0,1,75,2,초등학교,115,2,NO,4893785,498600,376470,0
2018,2,2,1,1,0,1,71,2,초등학교,109,2,NO,849089,28000,61800,8900
2018,4,2,0,1,0,1,34,6,대학교(4년제 이상),59,1,YES,4056853,340000,520380,12910
2018,1,1,0,0,1,2,62,2,초등학교,66,2,NO,1653436,109000,27000,0
2018,1,0,0,0,1,1,57,4,고등학교,99,2,NO,485442,122000,20600,0
2018,5,2,0,1,0,1,42,4,고등학교,85,2,NO,5507369,760300,0,3900
2018,2,2,0,1,0,1,59,4,고등학교,84,2,NO,1759735,95000,77350,8900
2018,3,2,0,1,0,1,51,4,고등학교,59,2,NO,3138222,321800,26090,43000
2018,3,2,0,0,1,1,61,4,고등학교,59,2,NO,1769044,41000,43000,0
2018,4,2,0,0,1,1,53,3,중학교,165,2,NO,3988132,409200,19640,20860
2018,1,1,0,0,1,2,46,4,고등학교,66,2,NO,1617206,509000,0,0
2018,3,2,0,0,1,2,33,6,대학교(4년제 이상),75,2,NO,6215232,483600,44000,0
2018,2,0,0,0,1,1,68,4,고등학교,40,2,NO,1309446,0,60000,0
2018,1,0,1,0,0,2,75,1,무학,40,2,NO,499418,58000,0,0
2018,1,0,0,0,1,2,20,5,대학교(3년제 이하),23,2,NO,1005476,182230,27280,12900
2018,1,1,0,0,1,2,22,6,대학교(4년제 이상),23,2,NO,1528670,323500,0,35000
2018,2,2,0,1,0,1,63,4,고등학교,84,1,YES,2687571,570000,0,0
2018,1,0,1,0,0,1,78,6,대학교(4년제 이상),82,2,NO,732516,41000,7500,0
2018,2,1,0,0,1,1,64,3,중학교,85,2,NO,2092881,177000,0,0
2018,3,2,0,1,0,1,54,4,고등학교,73,2,NO,3953940,550380,0,53960
2018,3,2,0,1,0,1,35,7,대학원,101,2,NO,5406949,979600,8200,0
2018,4,2,0,1,0,1,36,4,고등학교,60,2,NO,4656790,734400,147130,16850
2018,5,2,0,1,0,1,37,5,대학교(3년제 이하),60,2,NO,2625246,376200,27730,30840
2018,3,0,0,0,1,2,43,4,고등학교,66,2,NO,2321218,382600,110800,9800
2018,3,1,0,0,1,1,59,4,고등학교,84,2,NO,2743022,472900,98400,1800
2018,1,1,1,0,0,1,71,4,고등학교,30,2,NO,1275247,286500,5000,3800
2018,1,1,0,0,1,2,57,4,고등학교,36,2,NO,3738958,243800,24450,25780
2018,3,2,0,0,1,1,56,5,대학교(3년제 이하),120,2,NO,2318365,458300,155495,0
2018,3,2,0,0,1,1,62,6,대학교(4년제 이상),59,1,YES,5861261,285100,140642,14580
2018,2,1,0,0,1,1,59,7,대학원,59,1,YES,1483489,394500,20000,7500
2018,2,2,0,1,0,1,32,6,대학교(4년제 이상),59,2,NO,2967945,643840,221800,7990
2018,2,2,0,1,0,1,63,3,중학교,99,1,YES,3075068,22000,53180,0
2018,1,0,1,0,0,1,70,2,초등학교,83,2,NO,406333,38500,0,0
2018,1,1,0,0,1,1,49,6,대학교(4년제 이상),30,2,NO,820360,208000,0,1500
2018,2,1,0,0,1,1,71,2,초등학교,60,1,YES,4288119,252500,279000,0
2018,3,2,0,1,0,1,68,3,중학교,60,2,NO,1586253,38000,181980,20590
2018,3,2,0,0,1,1,62,3,중학교,178,2,NO,1676257,205500,94190,5380
2018,1,0,1,0,0,1,73,3,중학교,139,2,NO,996432,310000,22620,4200
2018,2,1,0,0,1,1,45,6,대학교(4년제 이상),112,2,NO,969513,112000,21000,9800
2018,2,2,1,1,0,1,79,2,초등학교,66,2,NO,2348393,96700,105154,0
2018,1,1,1,0,0,1,70,6,대학교(4년제 이상),60,1,YES,816185,315000,5000,0
2018,1,1,0,0,1,1,61,2,초등학교,89,2,NO,805467,75000,118900,0
2018,2,2,0,1,0,1,51,6,대학교(4년제 이상),185,2,NO,2257079,500500,52000,11930
2018,1,0,1,0,0,1,67,3,중학교,61,2,NO,1013860,20000,25000,0
2018,2,2,0,1,0,1,47,6,대학교(4년제 이상),135,2,NO,6480235,729000,141670,5900
2018,5,1,0,0,1,1,46,7,대학원,78,2,NO,2581387,243000,10400,0
2018,1,0,1,0,0,2,69,2,초등학교,43,2,NO,563440,77000,24000,0
2018,2,1,1,0,0,2,69,3,중학교,61,2,NO,1601553,158000,213820,0
2018,2,0,0,0,1,2,63,3,중학교,98,1,YES,2520481,152800,88800,0
2018,1,1,1,0,0,2,79,1,무학,51,2,NO,237320,35000,18500,0
2018,2,2,0,1,0,1,56,6,대학교(4년제 이상),40,2,NO,1688668,185800,20000,0
2018,2,2,0,1,0,1,36,6,대학교(4년제 이상),60,2,NO,1830832,170800,16990,0
2018,4,2,0,1,0,1,41,5,대학교(3년제 이하),60,2,NO,2937111,109500,27000,2300
2018,3,1,0,0,1,1,53,4,고등학교,70,2,NO,1066423,58000,0,0
2018,2,1,1,0,0,1,72,6,대학교(4년제 이상),120,1,YES,1863387,150800,22090,651090
2018,4,2,0,1,0,1,56,6,대학교(4년제 이상),76,2,NO,3957344,617200,114840,0
2018,1,0,0,0,1,1,64,3,중학교,49,2,NO,1342680,74000,34000,0
